date,open,high,low,close,sent_mean,ret,dir,tr,vol20,sent_lag1,sent_lag2,sent_lag3,sent_lag5,target,pred,proba
2025-07-17,1.164,1.1642,1.1555,1.1595,0.0,-0.00335787478107481,0,0.00869999999999993,0.003364346013125698,-0.1666666666666666,0.0,0.0,0.0,1.0,1.0,0.5244319377326562
2025-07-18,1.1595,1.1671,1.1589,1.1625,0.0,0.0025839807659250678,1,0.008199999999999985,0.003369222405455696,0.0,-0.1666666666666666,0.0,0.0,1.0,1.0,0.5246016854135828
2025-07-21,1.1618,1.1716,1.1614,1.1695,0.0,0.006003448562722192,1,0.010199999999999987,0.0034685856211627724,0.0,0.0,-0.1666666666666666,0.0,1.0,1.0,0.5372927483093125
2025-07-22,1.1695,1.176,1.1677,1.1753,-0.1666666666666666,0.004947127114574689,1,0.008299999999999974,0.003576007858214215,0.0,0.0,0.0,0.0,1.0,1.0,0.5376339782439234
2025-07-23,1.1752,1.1775,1.1709,1.177,0.3333333333333333,0.0014453941214683413,1,0.006599999999999939,0.0034721109406883163,-0.1666666666666666,0.0,0.0,-0.1666666666666666,0.0,1.0,0.5364571349517465
2025-07-24,1.177,1.1788,1.1729,1.1754,0.1666666666666666,-0.0013603130817266742,0,0.005900000000000016,0.00342256458650934,0.3333333333333333,-0.1666666666666666,0.0,0.0,0.0,1.0,0.5509522313321432
2025-07-25,1.1747,1.1761,1.1702,1.174,0.1666666666666666,-0.0011917937905083426,0,0.005900000000000016,0.0034182749900255743,0.1666666666666666,0.3333333333333333,-0.1666666666666666,0.0,0.0,1.0,0.5761861925241265
2025-07-28,1.1746,1.1772,1.1584,1.1588,0.0666666666666666,-0.0130317344928463,0,0.018799999999999928,0.0042620797696820605,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.0,1.0,0.5643699478667291
2025-07-29,1.1588,1.1599,1.1515,1.1545,0.0,-0.003717637100645281,0,0.008399999999999963,0.00426688705235085,0.0666666666666666,0.1666666666666666,0.1666666666666666,-0.1666666666666666,0.0,1.0,0.568078625926781
2025-07-30,1.1545,1.1572,1.1399,1.1404,0.0,-0.01228827175603308,0,0.017300000000000093,0.0049400899258153315,0.0,0.0666666666666666,0.1666666666666666,0.3333333333333333,1.0,1.0,0.5191300692592652
2025-07-31,1.1404,1.146,1.1402,1.1415,0.0,0.0009641089313332325,1,0.005799999999999805,0.004953776222734849,0.0,0.0,0.0666666666666666,0.1666666666666666,1.0,1.0,0.5257477176665238
2025-08-01,1.1414,1.1597,1.1389,1.1584,0.1111111111111111,0.014696555661601832,1,0.02079999999999993,0.0061055687860471705,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.5256095779475928
2025-08-04,1.1577,1.1596,1.1547,1.157,0.0,-0.0012092944377754425,0,0.004899999999999904,0.0059826432555788725,0.1111111111111111,0.0,0.0,0.0666666666666666,1.0,1.0,0.5416141050036876
2025-08-05,1.157,1.1587,1.1525,1.1574,0.0,0.0003456619460618697,1,0.006199999999999983,0.0059678963460999485,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.5462924698602878
2025-08-06,1.1571,1.1668,1.1563,1.1659,0.0,0.007317210799507323,1,0.010499999999999954,0.006228258107849101,0.0,0.0,0.1111111111111111,0.0,1.0,1.0,0.5378587770191103
2025-08-07,1.1659,1.1698,1.1609,1.1665,-0.0303030303030303,0.000514491522239074,1,0.008899999999999908,0.006221918938854888,0.0,0.0,0.0,0.0,0.0,1.0,0.5376312422794458
